HEADER[~&~	~&~UNIV_FISCAL_YR::DECIMAL~&~	~&~A21_LBR_RPT_TYP_CD::VARCHAR~&~	~&~ERNCD::VARCHAR~&~	~&~PAYGROUP::VARCHAR~&~	~&~OBJ_ID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~ROW_ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RAO'~&~	~&~'AOE'~&~	~&~'bab26a8d-702d-4544-86bc-44b89ae4f1d3'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RGA'~&~	~&~'SUM'~&~	~&~'33726936-4065-42a3-a1fc-127ac2120a7a'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRA'~&~	~&~'126eb225-d969-4179-a60e-bcde4ee91611'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RGH'~&~	~&~'HRR'~&~	~&~'aa99bab1-72ac-4013-9211-543ed6721511'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RGN'~&~	~&~'BW1'~&~	~&~'dd9e01b2-b827-44bc-88aa-c86398c43cc8'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RGP'~&~	~&~'HRP'~&~	~&~'4d5056ae-fbf8-4976-ab01-43c104de295d'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RGW'~&~	~&~'HRW'~&~	~&~'b5948dbf-c7ee-43e4-ac2c-33143de1a620'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2014'~&~	~&~'BI'~&~	~&~'RMO'~&~	~&~'SMO'~&~	~&~'fdae92b7-f3ed-42a7-9956-b24a75b2f6b0'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'10'~&~	~&~'REG'~&~	~&~'S10'~&~	~&~'26ae0235-aa58-4117-ac20-806bfe131d5f'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'10'~&~	~&~'RGA'~&~	~&~'A10'~&~	~&~'a7fa8a68-0266-421a-8682-e3c962327fe4'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'10'~&~	~&~'RGS'~&~	~&~'AS0'~&~	~&~'98a74f1a-4a80-423b-b0ca-26bf6cbb5e90'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'12'~&~	~&~'REG'~&~	~&~'S12'~&~	~&~'fd65077a-5962-4126-8df9-8cd30b636b97'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'12'~&~	~&~'RGA'~&~	~&~'A12'~&~	~&~'4f53a85f-60d0-4710-b93f-dc8ef875c608'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'12'~&~	~&~'RGR'~&~	~&~'RES'~&~	~&~'038a4120-2db8-4650-96ac-acdf7262362a'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'12'~&~	~&~'RGS'~&~	~&~'AS2'~&~	~&~'7ac18fb3-61dc-4236-bb90-68a88efb7fa2'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BI'~&~	~&~'OCC'~&~	~&~'HRX'~&~	~&~'066e3306-69de-4352-8e50-6d0f88d0cfed'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BI'~&~	~&~'RAO'~&~	~&~'AOE'~&~	~&~'5f34c12a-e063-4152-bf20-94f5c9d6c10e'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'2015'~&~	~&~'BI'~&~	~&~'RGA'~&~	~&~'SUM'~&~	~&~'8e59baf7-afcc-4eb7-b262-90365020c110'~&~	~&~'2'~&~	~&~'Y'~&~	~&~]RECORD
